,LocationType,Type,Name,Address,City,Latitude,Longitude
67,Branch,KCP,KCP Bursa Efek Jakarta,"Gd. Bursa Efek Jakarta, Tower II G-09 & 108, Jl. Jend. Sudirman Kav. 52-53",Jakarta Selatan,-6.224205,106.808707
68,Branch,KCP,KCP Mega Kuningan,Gedung Oakwood Premier Cozmo Jl. Lingkar Mega Kuningan Blok E 4.2 No. 1,Jakarta Selatan,-6.227783,106.825408
69,Branch,KCP,KCP Cyber 2,"Gedung Cyber 2 Ground Floor, Jl. HR. Rasuna Said Kav. X-5 No. 13",Jakarta Selatan,-6.22644,106.832354
70,Branch,KCP,KCP Mandala Raya,Jl. Mandala Raya 14,Jakarta Barat,-6.17585,106.799245
71,Branch,KCU,KCU MATRAMAN,Jl. Matraman Raya 14-16,Jakarta Timur,-6.20043,106.854553
72,Branch,KCP,KCP Biak,Jl. Biak No. 44 AB,Jakarta Pusat,-6.168088,106.808309
73,Branch,KCP,KCP Menara Palma,"Gedung Menara Palma - Ground Floor, Jl. HR Rasuna Said Blok X2 Kav. 6",Jakarta Selatan,-6.226956,106.833638
74,Branch,KCP,KCP Hasyim Ashari,Jl. KH H. Ashari 5 AA,Jakarta Pusat,-6.164772,106.818433
75,Branch,KCP,KCP Kemanggisan,Jl. Kemanggisan Utama Raya 37,Jakarta Barat,-6.18975,106.79098
76,Branch,KCP,KCP Cideng Barat,Jl. Cideng Barat 53,Jakarta Pusat,-6.189657,106.790778
77,Branch,KCP,KCP Pintu Air,Jl. Pintu Air 36 Q,Jakarta Pusat,-6.165307,106.832158
78,Branch,KCU,KCU SCBD,"Equity Tower Ground Floor Unit D & Lantai 8 Unit E, Jl. Jend. Sudirman Kav. 52-53 Lot 9",Jakarta Selatan,-6.226296,106.808435
79,Branch,KCP,KCP Juanda III,Jl. Ir. Juanda III No. 34,Jakarta Pusat,-6.163805,106.823638
80,Branch,KCP,KCP Saharjo,Jl. Dr. Saharjo 149 G-H,Jakarta Selatan,-6.219974,106.846164
81,Branch,KCP,KCP Alaydrus,Jl. Alaydrus 48 B,Jakarta Pusat,-6.164228,106.816287
